date,volume_t-1,volume
2016-02-11,3224004,3224004
2016-02-12,3923627,3923627
2016-02-16,2903649,2903649
2016-02-17,5382312,5382312
2016-02-18,2231481,2231481
2016-02-19,2339426,2339426
2016-02-22,1792962,1792962
2016-02-23,1282290,1282290
2016-02-24,1454952,1454952
2016-02-25,1453515,1453515
2016-02-26,944266,944266
2016-02-29,2187500,2187500
2016-03-01,2760200,2760200
2016-03-02,3612508,3612508
2016-03-03,946823,946823
2016-03-04,1124968,1124968
2016-03-07,1221574,1221574
2016-03-08,1801486,1801486
2016-03-09,1614633,1614633
2016-03-10,1614998,1614998
2016-03-11,1517348,1517348
2016-03-14,929638,929638
2016-03-15,1059439,1059439
2016-03-16,1956125,1956125
2016-03-17,1895669,1895669
2016-03-18,2504361,2504361
2016-03-21,2172615,2172615
2016-03-22,1552312,1552312
2016-03-23,1554822,1554822
2016-03-24,993627,993627
2016-03-28,1272724,1272724
2016-03-29,1091198,1091198
2016-03-30,783495,783495
2016-03-31,3143468,3143468
2016-04-01,2857844,2857844
2016-04-04,2958061,2958061
2016-04-05,1900659,1900659
2016-04-06,1566612,1566612
2016-04-07,1373839,1373839
2016-04-08,1106293,1106293
2016-04-11,1049336,1049336
2016-04-12,992495,992495
2016-04-13,2495340,2495340
2016-04-14,1347753,1347753
2016-04-15,1442264,1442264
2016-04-18,1536678,1536678
2016-04-19,1640774,1640774
2016-04-20,1243893,1243893
2016-04-21,1670389,1670389
2016-04-22,1396272,1396272
2016-04-25,1500449,1500449
2016-04-26,1868970,1868970
2016-04-27,1189462,1189462
2016-04-28,1549792,1549792
2016-04-29,2028332,2028332
2016-05-02,1285318,1285318
2016-05-03,1333991,1333991
2016-05-04,1602991,1602991
2016-05-05,1083956,1083956
2016-05-06,1403483,1403483
2016-05-09,1741539,1741539
2016-05-10,2094305,2094305
2016-05-11,3328961,3328961
2016-05-12,2504924,2504924
2016-05-13,2430565,2430565
2016-05-16,3979321,3979321
2016-05-17,7130371,7130371
2016-05-18,3476470,3476470
2016-05-19,3660160,3660160
2016-05-20,2567686,2567686
2016-05-23,1689755,1689755
2016-05-24,3236305,3236305
2016-05-25,2352424,2352424
2016-05-26,2569626,2569626
2016-05-27,1823120,1823120
2016-05-31,2256373,2256373
2016-06-01,1734386,1734386
2016-06-02,2209387,2209387
2016-06-03,2395816,2395816
2016-06-06,2359193,2359193
2016-06-07,1500872,1500872
2016-06-08,1552146,1552146
2016-06-09,1204415,1204415
2016-06-10,1261698,1261698
2016-06-13,1272833,1272833
2016-06-14,1624087,1624087
2016-06-15,2029194,2029194
2016-06-16,1784741,1784741
2016-06-17,3434813,3434813
2016-06-20,3161329,3161329
2016-06-21,2112964,2112964
2016-06-22,2412064,2412064
2016-06-23,1487938,1487938
2016-06-24,5263644,5263644
2016-06-27,4328364,4328364
2016-06-28,4300845,4300845
2016-06-29,2402578,2402578
2016-06-30,2181066,2181066
2016-07-01,1591476,1591476
2016-07-05,1813468,1813468
2016-07-06,2312133,2312133
2016-07-07,1861536,1861536
2016-07-08,1838137,1838137
2016-07-11,1094683,1094683
2016-07-12,2237748,2237748
2016-07-13,1852475,1852475
2016-07-14,1192500,1192500
2016-07-15,1202638,1202638
2016-07-18,1362884,1362884
2016-07-19,2583860,2583860
2016-07-20,2124914,2124914
2016-07-21,1226365,1226365
2016-07-22,1512440,1512440
2016-07-25,1720649,1720649
2016-07-26,1792674,1792674
2016-07-27,1572573,1572573
2016-07-28,1945517,1945517
2016-07-29,1881372,1881372
2016-08-01,1604639,1604639
2016-08-02,1595948,1595948
2016-08-03,1508868,1508868
